SentimentValue,SerialNumber,Tweet
0,103,some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++)
4,104,good
4,105,its to good 
4,106,everything is good 
0,107,"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject. "
4,108,excellent
2,109,"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching"
2,110,normal
4,111,good
4,112,good
4,113,teaching activities of our university is good. i am satisfied with it.
4,114,GOOD
4,115,everything is good for faculty
4,116,satisfactory
4,117,GOOD
4,118,all are good
2,119,good but not good . sir improve the subject
2,120,"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch."
4,121,"our university is good in punctuality,lecture delivery but it is not good in terms of interaction"
2,122,average
0,123,"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres"
4,124,good
4,125,All lectures are giving their best to teach the students
0,126,our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic 
4,127,The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.
4,128,"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time."
2,129,teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better
4,130,"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.


 "
2,131,"excellent, but reduse the speed of teaching  ,up to understand the students"
2,132,"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents...."
4,133,Interaction is good but it should b more ...rest is too perfect
4,134,"teachers are good in subject,and punctuality"
2,135,Everything would be fine if there are less number of students in our btech CSE.
4,136,good 
2,137,faculties are doing quite well but need more senior lecturers.
4,138,satisfied
4,139,"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good


"
4,140,Well and Good
4,141,Good
4,142,good
2,143,university management is extordinary but some of the faculty is very bad
4,144,good
4,145,good
4,146,good
2,147,"some lectures are excellent,but not everyone"
4,148,It is very good learning in this university
2,149,its  booring
4,150,good
4,151,Good
2,152,teaching is good but some lecturers are showing partiality between south people and north people
4,153,excellent
2,154,"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual. 
"
4,155,good
4,156,"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains."
4,157,good
4,158,"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc"
0,159,they are showing partiality between north indians and south indians
4,160,good
4,161,"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent

"
0,162,staff is showing partiality between north indians and south indians 
4,163,excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual
2,164,lecture delivery and punctuality was good but the interaction with students was not good.
2,165,punctuality and lecture is good here but interaction isn't good.
4,166,good enough
4,167,"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university

"
4,168,Very good indeed. 
4,169,"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good"
2,170,interaction of some faculty was good but not all faculty..
4,171,"good, and also like the teaching style"
4,172,"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good
 

"
4,173,not bad
4,174,Its Quite Good
4,175,very good indeed
4,176,not bad..
2,177,teaching is good some lecturers are showing partiality between south people and north people
2,178,I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE
4,179,All terms are good regarding the university activities
4,180,GOOD
4,181,intraction is good and leacture delivery also good and then punctuality is also is good
4,182,all the given terms are good regarding the university 
4,183,All the terms are good regarding the university activities.
0,184,Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject 
4,185,IT IS GOING GOOD
2,186,content of courses are average
0,187,Not good
4,188,All courses material provide very good knowledge in depth .
0,189,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning."
4,190,content of courses improves my knowledge
4,191,Yes
4,192,Good
4,193,This semester university has provide best teachers 
0,194,Needs some improvement
0,195,Needs some improvement
2,196,Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.
2,197,"Knowledge,depth of course is good but course material are not upto the mark"
4,198,course content is knowledgeable 
0,199,Content of the courses is good but some courses need improvement. Course material is not upto the mark. 
4,200,Good
4,201,Very good
0,202,Material of the course is not good enough 
0,203,sometimes proper course material is not required.
4,204,Easily available course material with sufficient knowledge gaining
4,205,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher."
4,206,The course notes are very knowledgeable and proper.
4,207,Good
4,208,Good
4,209,content of the courses are update and mostly based on current technology.
0,210,Needs some improvement
4,211,Good
0,212,Teachers are not giving depth of course . They trying to cover there work only .
4,213,Good
4,214,good
4,215,every thing is fine
4,216,It's appreciable
4,217,Satisfied
0,218,The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial
4,219,Awesome
4,220,It is proper
4,221,Courses are very good and useful 
4,222,Its good
4,223,Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand. 
4,224,Courses are very good and useful 
4,225,content is good enough
4,226,Good
4,227,Good
4,228,Accurate
4,229,Accurate
4,230,Perfect
4,231,the material provided is beneficial and provides much knowledge
4,232,fully knowledgeable
4,233,good
4,234,good
4,235,well planned
4,236,good
4,237,good
4,238,ok
4,239,good
2,240,average
4,241,content is very knowledgable and gives us huge knowledge of every subject
4,242,"content is enough, we donot need more."
2,243,good quallity content but some teachers donot upload ppts on time
4,244,course content is good
4,245,the content of the course is knowledgeable
2,246,subjects are appropriate but much depth is required as syllabus includes only basics not the details
4,247,good
0,248,some courses are irrelevant as they are not related to my stream.
0,249,there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course
4,250,not too bad
4,251,not too bad
4,252,course material is perfect
4,253,not bad
4,254,good
4,255,IP is provided to the students which is very helpful for the students.
2,256,depth of course is less on the other hand knowledge and material is good
4,257,Good
0,258,content does not provide deep knowledge
2,259,average
0,260,sometime it is irrelevent with the ongoing courses.
2,261,average(in one term there should be only two major subjects based on numerical)
2,262,some of them are very helpful and knowledgeable and some are just formality
2,263,"very knowledgeable, some subjects do not have dedicated material like books available"
4,264,optimum content
4,265,good
4,266,very good
4,267,good
4,268,very good
0,269,it is not appropriate
4,270,Satisfied knowedgeable and proper course material
4,271,"Good, but there should be at least one a practical subject in every semester"
4,272,Yes
4,273,good
4,274,Good
4,275,good
4,276,Good
4,277,Good
4,278, good.
0,279,it is not very deep
4,280,course contents are very much relevant to our courses
2,281,The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem
4,282,good
4,283,GOOD
4,284,content of the course is good 
0,285,syllabus is not in debth
4,286,Excellent
4,287,Very good
4,288,as per the courses all the sub are providing  worth knowledge
4,289,very good
2,290,i dont know
4,291,regarding the courses everything is good
4,292,coming to the courses these are very well planned... and it all depends on the lectures.
4,293,good
4,294,good
4,295,good
4,296,good
4,297,upto the mark
4,298,It is so good.
4,299,GOOD
4,300,excellent
2,301,content of course is ample but depth must be more
2,302,COURSE IS GOOD NO PROPER COURSE MATERIAL
4,303,excellent
4,304,good
0,305,Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.
4,306,"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects"
2,307,average
4,308,good
4,309,good
4,310,Excellent
4,311,very good and you can also increase the standard of Courses
4,312,The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.
4,313,content of course is more than enough to get the basics of that particular subject.
2,314,courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us
4,315, my rating in this is 4/5
2,316,"good,they work very hard for us"
4,317,good
0,318,syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood
4,319,good
0,320,when compared to other universities we need better material and exposure.
4,321,good
0,322,the content of the course should be increased with the depth.
4,323,content provided by you is excellent so that we learnt more and more about that particular subject
4,324,content of course is appropriate 
0,325,The content of course should be increase with depth
4,326,Good
4,327,good
0,328,In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus
0,329,some of the faculty are not uploading ppts
4,330,ok
4,331,good
4,332,excellent
4,333,it is good learning these courses
0,334,its very tough and very diffcult to understand
4,335,Nice
2,336,yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful
4,337,good
2,338,The content of the courses are good but depth of courses are not enough to get the good concepts.
4,339,content is sufficient for us 
4,340,excellent
4,341,"Content of courses are good, these are very knowledgeable, depth of course is also there but sometimes proper course material is not there."
4,342,good
4,343,"I like communication classes,courses are good"
4,344,they are giving good knowledge for us
4,345,Excellent
4,346,"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good"
4,347,its good
4,348,every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5
4,349,good
4,350,Its nice .
0,351,not good 
4,352,"The material provided in this university is depth of course, The courses in this university is knowledgeable
"
4,353,The depth of course is very much  deep. According to me its very essential
2,354,Some subjects are good and predictable.Remaining courses are not satisfactory
2,355,depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...
4,356,I like this very much because every subject is linked up with real life situations and every thing in the subject is use full
2,357,"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS 

"
4,358,good
4,359,Pretty Good 
4,360,Is good
0,361,not good enough.. we want something more.
4,362,good
0,363,LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM
2,364,knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.
0,365,HAVE TO IMPROVE
2,366,every one can tell depth of course but some one only give notes
4,367,we are getting maximum knowledge 
4,368,Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.
2,369,Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.
0,370,HAVE TO IMPROVE
4,371,examination pattern is good
4,372,Good
4,373,"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it."
0,374,Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.
4,375,examination pattern is good
4,376,Yes
4,377,Good
4,378,I like the question pattern
4,379,Good
4,380,Good
4,381,"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. "
4,382,Great
4,383,exam pattern is good and good paper checking.
2,384,Pattern and procedure of the examination is very good. Paper checking needed to be improved.
4,385,Good
4,386,Excellent 
4,387,Good
4,388,Good
4,389,Good marks distribution Students can easily check there performance throught the semester
2,390,"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there."
4,391,Descent.
4,392,Excellect
4,393,Excellect
4,394,exam pattern and marks distribution is very well procedure
4,395,Good
2,396,Average
4,397,It is statisfactory.
4,398,Good
0,399,not so good
4,400,all good
0,401,"Not that much good 
Students are working so hard
But they aren't getting satisfactory result"
2,402,All are good except paper checking. It should be improved
4,403,Overall all these things are the plus point of the university
4,404,Notbad
4,405,It is very gud
2,406,Examination pattern is good but marks distribution very confusing
4,407,"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight."
4,408,Everything is fine. 
2,409,Examination pattern is good but marks distribution very confusing
4,410,satisfactory 
4,411,Good
4,412,Good
4,413,Very good
4,414,Very good
4,415,Accurate
2,416,it is neither too good nor too bad
4,417,exam pattern is good and good paper checking.
4,418,Excellent 
4,419,good
4,420,good
4,421,good
4,422,good
4,423,good
4,424,good
4,425,Excellent 
4,426,"examination pattern, marks, paper checking is good."
0,427,"too many examination, we are frustrated"
2,428,too much examinations
2,429,average
4,430,examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.
0,431,the level of examination should be raised. Questions with reasoning must be included
4,432,ok
4,433,fair marking scheme and adaptable pattern
2,434,pattern of examination is good but paper checking is not at all going in a good way.
0,435,there should not be negative marking
4,436,all things are good
0,437,there should not be negative marking
0,438,there should not be negative marking
4,439,not bad
4,440,All is good .
4,441,"I like it , i am satisfied all these work"
4,442,Good
4,443,excellent 
4,444,quite good
4,445,good
0,446,very poor
4,447,exam pattern is good and good paper checking but paper checking can be improved
4,448,"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty."
4,449,all excellent
4,450,good
4,451,Excellent 
4,452,good
4,453,good
2,454,marks distribution is good but paper checking is not that well
4,455,satisfied
4,456,Excellent
4,457,Good
4,458,good
0,459,Very Tough
4,460,good
4,461,Excellent
4,462,Good
4,463,good.
4,464,it is good
0,465,bad
2,466,Examination pattern is good but mcq paper checking marks are not correct sometimes.
0,467,very strict
4,468,It is a good way in pattern
4,469,good
4,470,good
0,471,Not good
4,472,Very good
0,473,as per the exam pattern maths exam always have to be subjective rather than objective.
4,474,all good
0,475,its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk 
4,476,coming to the examinations it is good
2,477,In CA's its in the hands of lectures... while in mte's and ete's its good.
2,478,i think mid trem should be also subjective 
4,479,exam pattern and marks distribution are good
4,480,good
4,481,very good
4,482,good
4,483,Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.
4,484,GOOD
2,485,in examinations please try to give question papers
4,486,very good
4,487,GOOD AND STRICT
0,488,not much good 
2,489,exams conducting is very good .but paper correction is very bad
2,490,The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.
4,491,all these are good
4,492,the best pattern of examination are in lpu .
2,493,mid term percentage should be increased so that students get more choice to get success in the examinations
4,494,very good
4,495,Good
4,496,"good
"
4,497,The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.Through this students also get to know and visit different blocks of the university.The checking is also fair .
4,498,Everything is pretty well organised
4,499,good 
4,500,very good 5/5
4,501,good
0,502,for some subjects like maths and english(passage writing) the time duration neds to increase
2,503,"Pattern is good ...marks distribution that includes ca,mt,et ,nd attendence all that is  little complicated "
4,504,good
4,505,every thing is fine.
4,506,good
4,507,Probably the best part of university is its examination and its pattern.
4,508,"I have never seen this type of examination,,,,,,,very GOOD  pattern"
0,509,"examination checking sucks here , don't knw why I get low marks even if 4 qustions are wrong . answer key of exam is absurd, discrepancy system is not advantageous, answers of exam not right, omr should be uploaded


"
4,510,It is best
4,511,Good
4,512,good
0,513,"examination pattern is good but,,there is blunder mistake.that is we ha no alternate to check the mistake where we have done morever no question papers also not given for discussion.so i suggest to..provide option for checking mistakes in the MCQ exams such as midterm."
4,514,good
4,515,ok
4,516,good
4,517,excellent
0,518,time not sufficient
4,519,good
4,520,exam pattern is good 
4,521,excellent!!!
2,522,every thing is excllent but paper checking is not good
0,523,We don't get answers key and even the question papers for our mcq exams.There should be some means by which we could recheck our answers and get to know what mistakes we have made.
2,524,  exam pattern is very nice but paper checking is not at all good .
4,525,good
2,526,Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking.
4,527,good
2,528,exam  pattern is very good but if you give question papers to students it is helpful 
4,529,its better
4,530,Excellent
4,531,"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK

"
4,532,yeah its obviously good
4,533,exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5
4,534,everything was good.
4,535,everything is good.
2,536,"excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..
"
4,537,"Excellent exam pattern, paper checking in this university is easy

"
2,538,I don't like the -ve marking system. appart from that everything is great
0,539,"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects"
4,540,examination pattern was excellent
4,541,good
4,542,"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good

"
2,543,very hard papers and main concept papers
4,544,Good 
0,545, Not so good
0,546,strict paper correction.
2,547,super but paper checking is not good
4,548,NICE TIMING..
2,549,That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.
4,550,EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD 
4,551,exam pattern is good and marks distribution is also good but paper checking is too hard
4,552,all are good 
2,553,The examination pattern is good .But time is not sufficient for those questions.
4,554,MCQ pattern is quite good and efficient way for evolving students.
2,555,PAPER CHECKING IS VERY HARD REMAINING IS GOOD
0,556,"not satisfactory, lab work must include latest technologies"
4,557,Good 
4,558,Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. 
4,559,Good
4,560,practical work provides detail knowledge of theoretical work
4,561,Yes
4,562,Good
4,563,Everything is going fine in lab . learning new things. That is good for us
4,564,Good
4,565,Good
0,566,Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.
0,567,Not upto the mark
0,568,lab improves practical knowledge
2,569,Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.
4,570,Good
4,571,Good
4,572,Practical work is fair
4,573,Good
4,574,Practical and easy learning
0,575,"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say."
4,576,Good.
4,577,Good
4,578,Good
4,579,well and good infrastructure and have trending software in lab    
4,580,Good
2,581,Average
0,582,3 hours practical is so long. It should be of 2 hours only 
4,583,Good
4,584,ok ok
0,585,practicle must be of 2 hours
4,586,"It's good 
Also depends on teacher's knowledge and student's interest"
4,587,All good
2,588,Average 
0,589,Too much lanlb file work
2,590,Evaluation method is gud.But the content is more to write in file
4,591,excellent
4,592,Its good
2,593,I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.
4,594,excellent
0,595,lab duration of 3 hours is very long . 
2,596,Average
4,597,Good
4,598,Good
4,599,It's good
4,600,It's good
4,601,lab evaluations are pretty good .they help us a lot.
4,602,having good material in labs.
4,603,too much good
4,604,good
2,605,average
0,606,it is difficult to understand experiment in 1 hour
4,607,good
4,608,good
4,609,good
4,610,lab work is also good
4,611,lab work is quite good
2,612,lab activities are good but not satisfactory in explaining point of view.
4,613,helps in improving skills
4,614,lab work is nice.
4,615,practical work including evaluations are good so that students can learn about practicals.
4,616,laboratory provides us a good knowledge about practicals.
4,617,good
0,618,practical work insome labs are not upto the marks
2,619,labs are good but experiments are not very informative
0,620,the labs are not practically built
4,621,good
4,622,practical work is good
4,623,good
4,624,super
4,625,This is the best in our university because there is no other university which takes seriously for practical work.
0,626,"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good   "
4,627,Good
4,628,satisfactory
0,629,very poor.no equipments are there
0,630,poor
0,631,very poor.no equipments are there
0,632,lab practicals and evaluations are below average and need lot of changes and improvements
0,633,lab practical work can further be improved so that it can meet industrial standards
4,634,excellent work
4,635,good
4,636,good
4,637,good
4,638,very good
0,639,its hard to find a computer working in lab. Students cannot save data in one single PC
4,640,good
0,641,"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life."
0,642,not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision
4,643,good
4,644,Good
4,645,good
4,646,Good
4,647,Good
4,648,satisfactory.
0,649,i hate it
4,650,very good
0,651,Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly 
4,652,good
4,653,good
4,654,good
4,655,good
4,656,Good
4,657,Good
4,658,as per the lab evaluation we r satisfied with  it
4,659,good
4,660,lab and practical work are litial good
4,661,good
0,662,not very good... must be improved.
4,663,good
4,664,very good
0,665,bad
4,666,good
4,667,good
4,668,With the help of practicals students are able to understand all the concept.so it is also good.
4,669,GOOD
4,670,very good
4,671,good
4,672,LAB IS VERY GOOD
4,673,good
0,674,not good...... must be improve
4,675,Lab evaluations are good.
2,676,it was good but it can be improved
0,677,"most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
"
0,678,good  but marks are not given properly 
4,679,good
4,680,Excellent
2,681,practicals are good but evaluations are not because they don't give enough time to work 
4,682,They are conducted in proper way.
2,683,Teachers are supposed to let the students know the actual use of the instruments used in the lab.
4,684,excellent ...they  work hard..their way of teaching is also pretty good
2,685,average 3.5/5
4,686,good
2,687,"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........
"
4,688,Good
4,689,ok
4,690,its fine.
4,691,good
0,692,More number of lab/practicals should be there to enhance practical knowledge.
4,693,Here we r able to do every thing by our own with u r valuable support 
4,694,pretty good
4,695,Very Good
4,696,Good
4,697,good
0,698,There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.
4,699,good
4,700,good
4,701,good
4,702,super
2,703,it is good leaning in lab but the lab instruments are not properly working
4,704,very bad
4,705,good
4,706,good
4,707,labs are very interesting it is helpful to know the knowledge
0,708,According to me students are doing lab only for marks .
4,709,lab practical work help us to learn the things properly and evalution is also very necessary as it helps us to retain concepts
4,710,good
4,711,Lab or practical work is excellent and yes including evaluations also.
4,712,good
4,713,lab is very much helpful
0,714,in lab also they are showing parilaty
4,715,Good
0,716,Lab evaluations are very strict
4,717,good
0,718,the lab evaluations are very strict 
4,719,labs n practicals are good.
4,720,practicals are pretty well.
4,721,good
4,722,There is good evaluations in lab regarding practicle 
4,723,Very good
4,724,Its Good
2,725,lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..
4,726,I like it soo much
4,727,Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments 
0,728,very strcitly they evaluted marks 
4,729,Good enough
4,730,very good
4,731,nice..enough
4,732,labs are interesting and helpful toknoe the knowledge
0,733,NOT GOOD ...
4,734,Labs helps to know how the work is done.It thought me a good lessons.
4,735,IT IS GOOD
4,736,all labs and practical going on well
4,737,not bad
4,738,Labs are upto the mark.
0,739,Our labs do not have all facalities. 
4,740,ALL PRACTICAL WORK IS GOOD
2,741,library facilities are good but number of books are less
0,742,Not good 
4,743,Library facilities are excellent in terms of good techniques that are used over there.
2,744,"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude."
4,745,library has huge collection of books from different authors
4,746,Yes
4,747,Hardworking
2,748,I am satisfied with the facilities but few books are limited of  database distribution 
0,749,Its required some libral in rules
0,750,Its required some libral in rules
4,751,Good
4,752,Good
4,753,good library facilities
4,754,Library facilities are very good. No issues 
4,755,Hardworking
4,756,Good
4,757,Excellent
4,758,Good
4,759,Good
2,760,Again some of the faculties don't know how to behave otherwise it is good.
4,761,Descent.
4,762,Good
4,763,Good
4,764,library is very well managed and provide needed facilities to us
0,765,Its required some libral in rules
4,766,They are doing there job well
0,767,"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large."
4,768,Good
0,769,all books are not available
0,770,the system in library usually does not work . so it creates a problem for us to issue the book
0,771,"Sometimes only book is available for some subjects
And it is reserved"
4,772,Its very helpful
4,773,"Awesome, peaceful, relaxing atmosphere"
0,774,All books are not available
0,775,I think number of books are very less according to the students .Only 2-3 copies are available.
4,776,good
4,777,Thats good
